Sweden, Life tables (period 1x1), Males     Last modified: 23-Aug-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1751           0     0.24110  0.20757  0.33  100000   20757   86093  3681070  36.81
  1751           1     0.05295  0.05158  0.50   79243    4088   77199  3594977  45.37
  1751           2     0.03459  0.03400  0.50   75155    2555   73877  3517778  46.81
  1751           3     0.02788  0.02750  0.50   72600    1996   71602  3443901  47.44
  1751           4     0.02569  0.02537  0.50   70603    1791   69708  3372299  47.76
  1751           5     0.02080  0.02059  0.50   68812    1417   68104  3302591  47.99
  1751           6     0.01463  0.01453  0.50   67396     979   66906  3234487  47.99
  1751           7     0.01015  0.01010  0.50   66417     671   66081  3167581  47.69
  1751           8     0.00724  0.00721  0.50   65746     474   65509  3101499  47.17
  1751           9     0.00589  0.00588  0.50   65272     384   65080  3035990  46.51
  1751          10     0.00601  0.00599  0.50   64888     389   64694  2970910  45.78
  1751          11     0.00650  0.00648  0.50   64499     418   64291  2906216  45.06
  1751          12     0.00686  0.00683  0.50   64082     438   63863  2841926  44.35
  1751          13     0.00705  0.00703  0.50   63644     447   63420  2778063  43.65
  1751          14     0.00704  0.00702  0.50   63196     443   62975  2714643  42.96
  1751          15     0.00674  0.00672  0.50   62753     422   62542  2651668  42.26
  1751          16     0.00641  0.00639  0.50   62331     398   62132  2589126  41.54
  1751          17     0.00632  0.00630  0.50   61933     390   61738  2526994  40.80
  1751          18     0.00655  0.00653  0.50   61542     402   61342  2465256  40.06
  1751          19     0.00705  0.00702  0.50   61141     429   60926  2403915  39.32
  1751          20     0.00768  0.00765  0.50   60711     465   60479  2342989  38.59
  1751          21     0.00828  0.00825  0.50   60247     497   59998  2282510  37.89
  1751          22     0.00873  0.00869  0.50   59750     519   59490  2222512  37.20
  1751          23     0.00892  0.00888  0.50   59230     526   58967  2163022  36.52
  1751          24     0.00899  0.00895  0.50   58705     525   58442  2104055  35.84
  1751          25     0.00902  0.00898  0.50   58179     522   57918  2045613  35.16
  1751          26     0.00905  0.00901  0.50   57657     520   57397  1987695  34.47
  1751          27     0.00924  0.00920  0.50   57137     526   56874  1930298  33.78
  1751          28     0.00953  0.00949  0.50   56611     537   56343  1873423  33.09
  1751          29     0.00988  0.00983  0.50   56074     551   55799  1817080  32.40
  1751          30     0.01054  0.01049  0.50   55523     582   55232  1761282  31.72
  1751          31     0.01139  0.01133  0.50   54941     622   54629  1706050  31.05
  1751          32     0.01208  0.01201  0.50   54318     652   53992  1651421  30.40
  1751          33     0.01247  0.01240  0.50   53666     665   53333  1597429  29.77
  1751          34     0.01249  0.01242  0.50   53001     658   52672  1544095  29.13
  1751          35     0.01182  0.01175  0.50   52343     615   52035  1491424  28.49
  1751          36     0.01096  0.01090  0.50   51728     564   51446  1439388  27.83
  1751          37     0.01052  0.01047  0.50   51164     535   50897  1387942  27.13
  1751          38     0.01056  0.01051  0.50   50629     532   50363  1337046  26.41
  1751          39     0.01112  0.01106  0.50   50097     554   49820  1286683  25.68
  1751          40     0.01262  0.01254  0.50   49543     621   49232  1236863  24.97
  1751          41     0.01465  0.01454  0.50   48921     711   48566  1187631  24.28
  1751          42     0.01641  0.01628  0.50   48210     785   47817  1139066  23.63
  1751          43     0.01788  0.01773  0.50   47425     841   47005  1091248  23.01
  1751          44     0.01920  0.01902  0.50   46584     886   46141  1044244  22.42
  1751          45     0.01938  0.01920  0.50   45698     877   45260   998102  21.84
  1751          46     0.01854  0.01837  0.50   44821     823   44409   952843  21.26
  1751          47     0.01795  0.01779  0.50   43998     783   43606   908433  20.65
  1751          48     0.01761  0.01746  0.50   43215     754   42838   864827  20.01
  1751          49     0.01767  0.01752  0.50   42461     744   42089   821989  19.36
  1751          50     0.01931  0.01913  0.50   41717     798   41318   779900  18.70
  1751          51     0.02230  0.02205  0.50   40919     902   40468   738582  18.05
  1751          52     0.02547  0.02515  0.50   40017    1006   39513   698114  17.45
  1751          53     0.02856  0.02816  0.50   39010    1098   38461   658601  16.88
  1751          54     0.03107  0.03059  0.50   37912    1160   37332   620140  16.36
  1751          55     0.03067  0.03021  0.50   36752    1110   36197   582808  15.86
  1751          56     0.02885  0.02844  0.50   35642    1014   35135   546611  15.34
  1751          57     0.02841  0.02801  0.50   34628     970   34143   511476  14.77
  1751          58     0.02932  0.02889  0.50   33658     973   33172   477332  14.18
  1751          59     0.03161  0.03112  0.50   32686    1017   32177   444160  13.59
  1751          60     0.03626  0.03561  0.50   31669    1128   31105   411983  13.01
  1751          61     0.04145  0.04061  0.50   30541    1240   29921   380878  12.47
  1751          62     0.04575  0.04473  0.50   29301    1311   28645   350957  11.98
  1751          63     0.04939  0.04820  0.50   27990    1349   27316   322312  11.52
  1751          64     0.05170  0.05040  0.50   26641    1343   25970   294996  11.07
  1751          65     0.05225  0.05092  0.50   25298    1288   24654   269027  10.63
  1751          66     0.05262  0.05128  0.50   24010    1231   23395   244372  10.18
  1751          67     0.05398  0.05256  0.50   22779    1197   22180   220978   9.70
  1751          68     0.05679  0.05522  0.50   21582    1192   20986   198797   9.21
  1751          69     0.06170  0.05986  0.50   20390    1220   19780   177812   8.72
  1751          70     0.07014  0.06777  0.50   19169    1299   18520   158032   8.24
  1751          71     0.08063  0.07750  0.50   17870    1385   17178   139512   7.81
  1751          72     0.09141  0.08741  0.50   16485    1441   15765   122334   7.42
  1751          73     0.10286  0.09783  0.50   15044    1472   14309   106569   7.08
  1751          74     0.11431  0.10813  0.50   13573    1468   12839    92261   6.80
  1751          75     0.11920  0.11250  0.50   12105    1362   11424    79422   6.56
  1751          76     0.11812  0.11153  0.50   10743    1198   10144    67998   6.33
  1751          77     0.11765  0.11112  0.50    9545    1061    9015    57854   6.06
  1751          78     0.11850  0.11187  0.50    8484     949    8010    48839   5.76
  1751          79     0.12211  0.11508  0.50    7535     867    7102    40829   5.42
  1751          80     0.13459  0.12610  0.50    6668     841    6248    33727   5.06
  1751          81     0.15415  0.14312  0.50    5827     834    5410    27480   4.72
  1751          82     0.17480  0.16075  0.50    4993     803    4592    22070   4.42
  1751          83     0.19547  0.17806  0.50    4191     746    3817    17478   4.17
  1751          84     0.21319  0.19266  0.50    3444     664    3113    13660   3.97
  1751          85     0.21404  0.19335  0.50    2781     538    2512    10548   3.79
  1751          86     0.23046  0.20664  0.50    2243     464    2011     8036   3.58
  1751          87     0.24774  0.22043  0.50    1780     392    1583     6024   3.39
  1751          88     0.26586  0.23467  0.50    1387     326    1225     4441   3.20
  1751          89     0.28481  0.24931  0.50    1062     265     929     3216   3.03
  1751          90     0.30456  0.26431  0.50     797     211     692     2287   2.87
  1751          91     0.32504  0.27960  0.50     586     164     504     1595   2.72
  1751          92     0.34623  0.29513  0.50     422     125     360     1091   2.58
  1751          93     0.36803  0.31084  0.50     298      93     251      731   2.45
  1751          94     0.39040  0.32664  0.50     205      67     172      479   2.33
  1751          95     0.41323  0.34247  0.50     138      47     115      307   2.22
  1751          96     0.43644  0.35826  0.50      91      33      75      193   2.12
  1751          97     0.45993  0.37394  0.50      58      22      47      118   2.03
  1751          98     0.48360  0.38944  0.50      37      14      29       71   1.94
  1751          99     0.50735  0.40469  0.50      22       9      18       42   1.86
  1751         100     0.53106  0.41964  0.50      13       6      10       24   1.79
  1751         101     0.55464  0.43422  0.50       8       3       6       13   1.72
  1751         102     0.57797  0.44839  0.50       4       2       3        7   1.66
  1751         103     0.60096  0.46210  0.50       2       1       2        4   1.60
  1751         104     0.62351  0.47532  0.50       1       1       1        2   1.55
  1751         105     0.64554  0.48802  0.50       1       0       1        1   1.50
  1751         106     0.66696  0.50017  0.50       0       0       0        1   1.46
  1751         107     0.68772  0.51175  0.50       0       0       0        0   1.42
  1751         108     0.70776  0.52276  0.50       0       0       0        0   1.39
  1751         109     0.72701  0.53319  0.50       0       0       0        0   1.36
  1751         110+    0.74546  1.00000  1.34       0       0       0        0   1.34
  1752           0     0.27443  0.23181  0.33  100000   23181   84469  3388088  33.88
  1752           1     0.07799  0.07507  0.50   76819    5767   73936  3303618  43.00
  1752           2     0.05118  0.04990  0.50   71053    3546   69280  3229682  45.45
  1752           3     0.03811  0.03740  0.50   67507    2525   66245  3160402  46.82
  1752           4     0.03551  0.03489  0.50   64983    2267   63849  3094157  47.62
  1752           5     0.03216  0.03165  0.50   62716    1985   61723  3030308  48.32
  1752           6     0.02309  0.02283  0.50   60730    1386   60037  2968585  48.88
  1752           7     0.01616  0.01603  0.50   59344     951   58868  2908548  49.01
  1752           8     0.01139  0.01133  0.50   58393     661   58062  2849679  48.80
  1752           9     0.00862  0.00858  0.50   57732     496   57484  2791617  48.36
  1752          10     0.00749  0.00746  0.50   57236     427   57023  2734133  47.77
  1752          11     0.00733  0.00731  0.50   56809     415   56602  2677111  47.12
  1752          12     0.00719  0.00716  0.50   56394     404   56192  2620509  46.47
  1752          13     0.00710  0.00708  0.50   55990     396   55792  2564317  45.80
  1752          14     0.00707  0.00705  0.50   55594     392   55398  2508525  45.12
  1752          15     0.00708  0.00705  0.50   55202     389   55007  2453127  44.44
  1752          16     0.00691  0.00688  0.50   54813     377   54624  2398120  43.75
  1752          17     0.00684  0.00681  0.50   54435     371   54250  2343495  43.05
  1752          18     0.00697  0.00694  0.50   54065     375   53877  2289245  42.34
  1752          19     0.00739  0.00736  0.50   53689     395   53492  2235369  41.64
  1752          20     0.00802  0.00798  0.50   53294     426   53081  2181877  40.94
  1752          21     0.00856  0.00852  0.50   52868     451   52643  2128796  40.27
  1752          22     0.00896  0.00892  0.50   52418     467   52184  2076153  39.61
  1752          23     0.00914  0.00910  0.50   51950     473   51714  2023969  38.96
  1752          24     0.00899  0.00895  0.50   51478     461   51247  1972255  38.31
  1752          25     0.00871  0.00867  0.50   51017     442   50796  1921008  37.65
  1752          26     0.00841  0.00838  0.50   50575     424   50363  1870212  36.98
  1752          27     0.00826  0.00823  0.50   50151     413   49945  1819849  36.29
  1752          28     0.00828  0.00824  0.50   49738     410   49533  1769904  35.58
  1752          29     0.00841  0.00837  0.50   49328     413   49122  1720371  34.88
  1752          30     0.00858  0.00855  0.50   48915     418   48706  1671249  34.17
  1752          31     0.00912  0.00908  0.50   48497     440   48277  1622543  33.46
  1752          32     0.00969  0.00964  0.50   48057     463   47825  1574266  32.76
  1752          33     0.01020  0.01015  0.50   47594     483   47352  1526441  32.07
  1752          34     0.01058  0.01052  0.50   47111     496   46863  1479089  31.40
  1752          35     0.01082  0.01076  0.50   46615     502   46364  1432226  30.72
  1752          36     0.01052  0.01046  0.50   46113     482   45872  1385862  30.05
  1752          37     0.01033  0.01027  0.50   45631     469   45396  1339990  29.37
  1752          38     0.01035  0.01030  0.50   45162     465   44929  1294593  28.67
  1752          39     0.01064  0.01059  0.50   44697     473   44460  1249664  27.96
  1752          40     0.01118  0.01112  0.50   44224     492   43978  1205204  27.25
  1752          41     0.01264  0.01256  0.50   43732     549   43457  1161226  26.55
  1752          42     0.01398  0.01389  0.50   43183     600   42883  1117768  25.88
  1752          43     0.01495  0.01484  0.50   42583     632   42267  1074885  25.24
  1752          44     0.01551  0.01539  0.50   41951     646   41628  1032618  24.61
  1752          45     0.01592  0.01579  0.50   41306     652   40979   990990  23.99
  1752          46     0.01524  0.01513  0.50   40653     615   40346   950010  23.37
  1752          47     0.01480  0.01469  0.50   40038     588   39744   909664  22.72
  1752          48     0.01473  0.01462  0.50   39450     577   39162   869920  22.05
  1752          49     0.01503  0.01492  0.50   38873     580   38583   830759  21.37
  1752          50     0.01560  0.01548  0.50   38293     593   37997   792175  20.69
  1752          51     0.01801  0.01785  0.50   37700     673   37364   754178  20.00
  1752          52     0.02062  0.02041  0.50   37027     756   36649   716815  19.36
  1752          53     0.02333  0.02307  0.50   36272     837   35853   680165  18.75
  1752          54     0.02584  0.02551  0.50   35435     904   34983   644312  18.18
  1752          55     0.02798  0.02759  0.50   34531     953   34054   609329  17.65
  1752          56     0.02693  0.02657  0.50   33578     892   33132   575275  17.13
  1752          57     0.02631  0.02597  0.50   32686     849   32261   542143  16.59
  1752          58     0.02637  0.02602  0.50   31837     828   31423   509881  16.02
  1752          59     0.02713  0.02676  0.50   31009     830   30594   478458  15.43
  1752          60     0.02840  0.02800  0.50   30179     845   29756   447865  14.84
  1752          61     0.03202  0.03151  0.50   29334     924   28871   418109  14.25
  1752          62     0.03472  0.03412  0.50   28409     969   27924   389237  13.70
  1752          63     0.03702  0.03635  0.50   27440     997   26941   361313  13.17
  1752          64     0.03911  0.03836  0.50   26442    1014   25935   334372  12.65
  1752          65     0.04076  0.03995  0.50   25428    1016   24920   308437  12.13
  1752          66     0.04215  0.04128  0.50   24412    1008   23908   283516  11.61
  1752          67     0.04450  0.04353  0.50   23405    1019   22895   259608  11.09
  1752          68     0.04785  0.04673  0.50   22386    1046   21863   236713  10.57
  1752          69     0.05265  0.05130  0.50   21340    1095   20792   214850  10.07
  1752          70     0.05909  0.05740  0.50   20245    1162   19664   194058   9.59
  1752          71     0.06793  0.06569  0.50   19083    1254   18456   174394   9.14
  1752          72     0.07679  0.07395  0.50   17829    1318   17170   155938   8.75
  1752          73     0.08506  0.08159  0.50   16511    1347   15837   138768   8.40
  1752          74     0.09246  0.08837  0.50   15164    1340   14494   122931   8.11
  1752          75     0.09858  0.09395  0.50   13824    1299   13174   108437   7.84
  1752          76     0.09788  0.09331  0.50   12525    1169   11941    95263   7.61
  1752          77     0.09724  0.09274  0.50   11356    1053   10830    83322   7.34
  1752          78     0.09803  0.09345  0.50   10303     963    9822    72493   7.04
  1752          79     0.10102  0.09616  0.50    9340     898    8891    62671   6.71
  1752          80     0.10280  0.09777  0.50    8442     825    8029    53780   6.37
  1752          81     0.11924  0.11253  0.50    7617     857    7188    45750   6.01
  1752          82     0.12814  0.12042  0.50    6760     814    6353    38562   5.70
  1752          83     0.13760  0.12874  0.50    5946     765    5563    32210   5.42
  1752          84     0.14764  0.13749  0.50    5180     712    4824    26647   5.14
  1752          85     0.15828  0.14668  0.50    4468     655    4140    21823   4.88
  1752          86     0.16954  0.15629  0.50    3813     596    3515    17683   4.64
  1752          87     0.18142  0.16633  0.50    3217     535    2949    14168   4.40
  1752          88     0.19394  0.17680  0.50    2682     474    2445    11219   4.18
  1752          89     0.20711  0.18768  0.50    2208     414    2000     8774   3.97
  1752          90     0.22093  0.19895  0.50    1793     357    1615     6774   3.78
  1752          91     0.23539  0.21060  0.50    1436     303    1285     5159   3.59
  1752          92     0.25050  0.22262  0.50    1134     252    1008     3874   3.42
  1752          93     0.26624  0.23496  0.50     882     207     778     2866   3.25
  1752          94     0.28259  0.24760  0.50     674     167     591     2088   3.10
  1752          95     0.29954  0.26052  0.50     507     132     441     1497   2.95
  1752          96     0.31706  0.27367  0.50     375     103     324     1056   2.81
  1752          97     0.33511  0.28702  0.50     273      78     233      732   2.69
  1752          98     0.35365  0.30051  0.50     194      58     165      499   2.57
  1752          99     0.37265  0.31412  0.50     136      43     115      334   2.46
  1752         100     0.39205  0.32779  0.50      93      31      78      219   2.35
  1752         101     0.41179  0.34148  0.50      63      21      52      141   2.25
  1752         102     0.43183  0.35515  0.50      41      15      34       89   2.16
  1752         103     0.45209  0.36874  0.50      27      10      22       55   2.08
  1752         104     0.47250  0.38221  0.50      17       6      14       34   2.00
  1752         105     0.49302  0.39552  0.50      10       4       8       20   1.93
  1752         106     0.51355  0.40863  0.50       6       3       5       12   1.86
  1752         107     0.53404  0.42149  0.50       4       2       3        7   1.80
  1752         108     0.55442  0.43408  0.50       2       1       2        4   1.75
  1752         109     0.57461  0.44637  0.50       1       1       1        2   1.71
  1752         110+    0.59456  1.00000  1.68       1       1       1        1   1.68
  1753           0     0.24082  0.20736  0.33  100000   20736   86107  3804861  38.05
  1753           1     0.05868  0.05700  0.50   79264    4518   77005  3718754  46.92
  1753           2     0.03838  0.03766  0.50   74745    2815   73338  3641750  48.72
  1753           3     0.02739  0.02702  0.50   71931    1944   70959  3568412  49.61
  1753           4     0.02456  0.02426  0.50   69987    1698   69138  3497453  49.97
  1753           5     0.02212  0.02187  0.50   68289    1494   67542  3428314  50.20
  1753           6     0.01614  0.01601  0.50   66795    1069   66261  3360772  50.31
  1753           7     0.01158  0.01151  0.50   65726     757   65348  3294512  50.13
  1753           8     0.00843  0.00839  0.50   64969     545   64697  3229164  49.70
  1753           9     0.00667  0.00665  0.50   64424     428   64210  3164467  49.12
  1753          10     0.00596  0.00594  0.50   63996     380   63806  3100258  48.44
  1753          11     0.00593  0.00591  0.50   63616     376   63428  3036452  47.73
  1753          12     0.00584  0.00582  0.50   63239     368   63055  2973024  47.01
  1753          13     0.00568  0.00567  0.50   62871     356   62693  2909969  46.28
  1753          14     0.00550  0.00548  0.50   62515     343   62344  2847276  45.55
  1753          15     0.00531  0.00529  0.50   62172     329   62008  2784932  44.79
  1753          16     0.00505  0.00504  0.50   61843     312   61687  2722924  44.03
  1753          17     0.00505  0.00503  0.50   61531     310   61377  2661237  43.25
  1753          18     0.00527  0.00526  0.50   61222     322   61061  2599861  42.47
  1753          19     0.00580  0.00578  0.50   60900     352   60724  2538800  41.69
  1753          20     0.00665  0.00663  0.50   60548     401   60347  2478076  40.93
  1753          21     0.00752  0.00749  0.50   60146     451   59921  2417729  40.20
  1753          22     0.00821  0.00817  0.50   59696     488   59452  2357808  39.50
  1753          23     0.00868  0.00864  0.50   59208     512   58952  2298356  38.82
  1753          24     0.00887  0.00883  0.50   58696     518   58437  2239404  38.15
  1753          25     0.00869  0.00865  0.50   58178     504   57926  2180967  37.49
  1753          26     0.00838  0.00834  0.50   57674     481   57434  2123041  36.81
  1753          27     0.00823  0.00820  0.50   57193     469   56959  2065607  36.12
  1753          28     0.00822  0.00819  0.50   56725     465   56492  2008648  35.41
  1753          29     0.00838  0.00834  0.50   56260     469   56025  1952156  34.70
  1753          30     0.00861  0.00857  0.50   55791     478   55552  1896131  33.99
  1753          31     0.00906  0.00902  0.50   55313     499   55063  1840579  33.28
  1753          32     0.00952  0.00947  0.50   54814     519   54554  1785516  32.57
  1753          33     0.00996  0.00991  0.50   54294     538   54025  1730962  31.88
  1753          34     0.01029  0.01023  0.50   53756     550   53481  1676937  31.20
  1753          35     0.01047  0.01042  0.50   53206     554   52929  1623455  30.51
  1753          36     0.01022  0.01017  0.50   52652     535   52384  1570526  29.83
  1753          37     0.01013  0.01008  0.50   52116     525   51854  1518142  29.13
  1753          38     0.01020  0.01015  0.50   51591     524   51329  1466288  28.42
  1753          39     0.01052  0.01047  0.50   51067     534   50800  1414959  27.71
  1753          40     0.01106  0.01099  0.50   50533     556   50255  1364159  27.00
  1753          41     0.01239  0.01231  0.50   49977     615   49670  1313904  26.29
  1753          42     0.01385  0.01375  0.50   49362     679   49023  1264234  25.61
  1753          43     0.01518  0.01507  0.50   48683     734   48316  1215211  24.96
  1753          44     0.01610  0.01598  0.50   47950     766   47567  1166895  24.34
  1753          45     0.01676  0.01662  0.50   47184     784   46792  1119328  23.72
  1753          46     0.01666  0.01652  0.50   46399     767   46016  1072537  23.12
  1753          47     0.01705  0.01690  0.50   45633     771   45247  1026520  22.50
  1753          48     0.01769  0.01754  0.50   44861     787   44468   981273  21.87
  1753          49     0.01870  0.01853  0.50   44075     817   43666   936805  21.25
  1753          50     0.01976  0.01956  0.50   43258     846   42835   893139  20.65
  1753          51     0.02204  0.02180  0.50   42412     925   41949   850304  20.05
  1753          52     0.02407  0.02378  0.50   41487     987   40994   808354  19.48
  1753          53     0.02550  0.02518  0.50   40500    1020   39991   767361  18.95
  1753          54     0.02579  0.02546  0.50   39481    1005   38978   727370  18.42
  1753          55     0.02469  0.02439  0.50   38475     939   38006   688392  17.89
  1753          56     0.02187  0.02163  0.50   37537     812   37131   650386  17.33
  1753          57     0.02083  0.02062  0.50   36725     757   36346   613255  16.70
  1753          58     0.02169  0.02146  0.50   35968     772   35582   576909  16.04
  1753          59     0.02447  0.02418  0.50   35196     851   34770   541327  15.38
  1753          60     0.02831  0.02792  0.50   34345     959   33865   506557  14.75
  1753          61     0.03373  0.03317  0.50   33386    1107   32832   472691  14.16
  1753          62     0.03790  0.03719  0.50   32279    1201   31678   439859  13.63
  1753          63     0.03990  0.03912  0.50   31078    1216   30470   408180  13.13
  1753          64     0.04017  0.03938  0.50   29862    1176   29274   377710  12.65
  1753          65     0.03932  0.03856  0.50   28686    1106   28133   348435  12.15
  1753          66     0.03845  0.03772  0.50   27580    1040   27060   320302  11.61
  1753          67     0.03958  0.03882  0.50   26540    1030   26025   293242  11.05
  1753          68     0.04284  0.04195  0.50   25510    1070   24975   267217  10.48
  1753          69     0.04848  0.04733  0.50   24440    1157   23861   242242   9.91
  1753          70     0.05643  0.05488  0.50   23283    1278   22644   218381   9.38
  1753          71     0.06609  0.06397  0.50   22005    1408   21301   195737   8.90
  1753          72     0.07616  0.07336  0.50   20597    1511   19842   174436   8.47
  1753          73     0.08577  0.08224  0.50   19086    1570   18301   154594   8.10
  1753          74     0.09375  0.08955  0.50   17517    1569   16732   136292   7.78
  1753          75     0.10040  0.09560  0.50   15948    1525   15186   119560   7.50
  1753          76     0.10242  0.09743  0.50   14423    1405   13721   104374   7.24
  1753          77     0.10564  0.10034  0.50   13018    1306   12365    90654   6.96
  1753          78     0.10928  0.10362  0.50   11712    1214   11105    78289   6.68
  1753          79     0.11465  0.10843  0.50   10498    1138    9929    67183   6.40
  1753          80     0.10971  0.10401  0.50    9360     974    8873    57254   6.12
  1753          81     0.12239  0.11533  0.50    8387     967    7903    48381   5.77
  1753          82     0.13453  0.12605  0.50    7419     935    6952    40478   5.46
  1753          83     0.14005  0.13089  0.50    6484     849    6060    33526   5.17
  1753          84     0.15213  0.14138  0.50    5635     797    5237    27467   4.87
  1753          85     0.16505  0.15247  0.50    4839     738    4470    22230   4.59
  1753          86     0.17883  0.16415  0.50    4101     673    3764    17760   4.33
  1753          87     0.19350  0.17643  0.50    3428     605    3125    13995   4.08
  1753          88     0.20907  0.18928  0.50    2823     534    2556    10870   3.85
  1753          89     0.22554  0.20268  0.50    2289     464    2057     8314   3.63
  1753          90     0.24290  0.21660  0.50    1825     395    1627     6258   3.43
  1753          91     0.26115  0.23099  0.50    1430     330    1264     4630   3.24
  1753          92     0.28027  0.24582  0.50    1099     270     964     3366   3.06
  1753          93     0.30022  0.26104  0.50     829     216     721     2402   2.90
  1753          94     0.32095  0.27657  0.50     613     169     528     1681   2.74
  1753          95     0.34242  0.29236  0.50     443     130     378     1153   2.60
  1753          96     0.36455  0.30835  0.50     314      97     265      774   2.47
  1753          97     0.38727  0.32444  0.50     217      70     182      509   2.35
  1753          98     0.41049  0.34058  0.50     147      50     122      327   2.23
  1753          99     0.43411  0.35669  0.50      97      34      79      206   2.13
  1753         100     0.45804  0.37269  0.50      62      23      51      126   2.03
  1753         101     0.48216  0.38850  0.50      39      15      31       76   1.95
  1753         102     0.50637  0.40407  0.50      24      10      19       44   1.86
  1753         103     0.53055  0.41932  0.50      14       6      11       25   1.79
  1753         104     0.55458  0.43419  0.50       8       4       6       14   1.72
  1753         105     0.57837  0.44863  0.50       5       2       4        8   1.66
  1753         106     0.60179  0.46260  0.50       3       1       2        4   1.60
  1753         107     0.62476  0.47605  0.50       1       1       1        2   1.55
  1753         108     0.64718  0.48896  0.50       1       0       1        1   1.51
  1753         109     0.66897  0.50129  0.50       0       0       0        1   1.47
  1753         110+    0.69005  1.00000  1.45       0       0       0        0   1.45
  1754           0     0.26612  0.22585  0.33  100000   22585   84868  3580296  35.80
  1754           1     0.06169  0.05984  0.50   77415    4633   75099  3495428  45.15
  1754           2     0.04058  0.03977  0.50   72782    2894   71335  3420330  46.99
  1754           3     0.02738  0.02701  0.50   69888    1888   68944  3348994  47.92
  1754           4     0.02311  0.02285  0.50   68000    1554   67223  3280050  48.24
  1754           5     0.02074  0.02053  0.50   66447    1364   65765  3212827  48.35
  1754           6     0.01523  0.01511  0.50   65083     984   64591  3147062  48.35
  1754           7     0.01096  0.01090  0.50   64099     699   63750  3082471  48.09
  1754           8     0.00804  0.00801  0.50   63401     508   63147  3018721  47.61
  1754           9     0.00643  0.00641  0.50   62893     403   62692  2955574  46.99
  1754          10     0.00589  0.00587  0.50   62490     367   62307  2892882  46.29
  1754          11     0.00604  0.00602  0.50   62123     374   61936  2830576  45.56
  1754          12     0.00619  0.00617  0.50   61749     381   61558  2768640  44.84
  1754          13     0.00634  0.00632  0.50   61368     388   61174  2707082  44.11
  1754          14     0.00648  0.00646  0.50   60980     394   60783  2645908  43.39
  1754          15     0.00667  0.00665  0.50   60586     403   60384  2585126  42.67
  1754          16     0.00661  0.00659  0.50   60183     396   59985  2524741  41.95
  1754          17     0.00666  0.00664  0.50   59786     397   59588  2464757  41.23
  1754          18     0.00681  0.00679  0.50   59390     403   59188  2405169  40.50
  1754          19     0.00705  0.00703  0.50   58986     414   58779  2345981  39.77
  1754          20     0.00744  0.00741  0.50   58572     434   58355  2287201  39.05
  1754          21     0.00808  0.00805  0.50   58138     468   57904  2228846  38.34
  1754          22     0.00866  0.00862  0.50   57670     497   57421  2170942  37.64
  1754          23     0.00915  0.00911  0.50   57173     521   56912  2113521  36.97
  1754          24     0.00953  0.00948  0.50   56652     537   56383  2056609  36.30
  1754          25     0.00975  0.00970  0.50   56115     544   55843  2000225  35.65
  1754          26     0.00954  0.00950  0.50   55570     528   55307  1944383  34.99
  1754          27     0.00946  0.00942  0.50   55043     518   54784  1889076  34.32
  1754          28     0.00955  0.00950  0.50   54524     518   54265  1834293  33.64
  1754          29     0.00976  0.00972  0.50   54006     525   53744  1780027  32.96
  1754          30     0.01009  0.01004  0.50   53481     537   53213  1726284  32.28
  1754          31     0.01064  0.01059  0.50   52944     560   52664  1673071  31.60
  1754          32     0.01097  0.01091  0.50   52384     571   52098  1620407  30.93
  1754          33     0.01117  0.01110  0.50   51812     575   51525  1568308  30.27
  1754          34     0.01118  0.01112  0.50   51237     570   50952  1516784  29.60
  1754          35     0.01102  0.01096  0.50   50668     555   50390  1465831  28.93
  1754          36     0.01063  0.01057  0.50   50112     530   49847  1415441  28.25
  1754          37     0.01074  0.01069  0.50   49583     530   49318  1365594  27.54
  1754          38     0.01133  0.01126  0.50   49053     553   48776  1316276  26.83
  1754          39     0.01235  0.01228  0.50   48500     595   48202  1267500  26.13
  1754          40     0.01369  0.01359  0.50   47905     651   47579  1219297  25.45
  1754          41     0.01564  0.01552  0.50   47254     733   46887  1171718  24.80
  1754          42     0.01736  0.01721  0.50   46520     800   46120  1124831  24.18
  1754          43     0.01888  0.01870  0.50   45720     855   45292  1078712  23.59
  1754          44     0.01974  0.01955  0.50   44865     877   44426  1033419  23.03
  1754          45     0.01974  0.01954  0.50   43988     860   43558   988993  22.48
  1754          46     0.01862  0.01844  0.50   43128     795   42730   945435  21.92
  1754          47     0.01833  0.01817  0.50   42332     769   41948   902705  21.32
  1754          48     0.01870  0.01853  0.50   41563     770   41178   860757  20.71
  1754          49     0.01945  0.01926  0.50   40793     786   40401   819579  20.09
  1754          50     0.02041  0.02021  0.50   40008     809   39603   779178  19.48
  1754          51     0.02242  0.02217  0.50   39199     869   38765   739575  18.87
  1754          52     0.02407  0.02379  0.50   38330     912   37874   700810  18.28
  1754          53     0.02571  0.02539  0.50   37418     950   36943   662936  17.72
  1754          54     0.02700  0.02664  0.50   36468     971   35983   625993  17.17
  1754          55     0.02791  0.02752  0.50   35497     977   35008   590010  16.62
  1754          56     0.02720  0.02683  0.50   34520     926   34057   555002  16.08
  1754          57     0.02754  0.02716  0.50   33594     912   33137   520945  15.51
  1754          58     0.02884  0.02843  0.50   32681     929   32217   487808  14.93
  1754          59     0.03108  0.03060  0.50   31752     972   31266   455591  14.35
  1754          60     0.03384  0.03328  0.50   30780    1024   30268   424325  13.79
